City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,kuito,-12.3833,16.9333,288.73,94,100,1.84,AO,1675476411
339,praia da vitoria,38.7333,-27.0667,289.13,93,100,4.57,PT,1675476412
340,igunga,-4.2833,33.8833,290.92,94,79,2.06,TZ,1675476413
341,mandera,3.9366,41.867,297.37,37,23,3.84,KE,1675476414
342,booue,-0.0921,11.9385,296.46,83,98,0.97,GA,1675476415
343,umm lajj,25.0213,37.2685,291.24,53,10,4.78,SA,1675476220
344,soverato,38.685,16.5499,286.12,73,69,8.93,IT,1675476416
345,maniitsoq,65.4167,-52.9,260.87,90,100,5.51,GL,1675476417
346,oranjemund,-28.55,16.4333,290.02,90,83,2.42,NA,1675476418
347,damietta,31.4165,31.8133,284.36,80,14,6.59,EG,1675476419
348,toppenish,46.3774,-120.3087,279.27,76,100,4.58,US,1675476420
349,fuerte olimpo,-21.0415,-57.8738,294.96,95,100,1.21,PY,1675476421
350,bani,18.2833,-70.3333,295.32,80,1,3.34,DO,1675476421
351,santiago,-33.4569,-70.6483,299.96,43,73,1.77,CL,1675476141
352,urubicha,-15.3833,-62.95,294.46,99,99,0.6,BO,1675476422
353,moussoro,13.6408,16.4901,293.19,15,90,5.25,TD,1675476423
354,nanuque,-17.8392,-40.3539,295.92,90,2,4.08,BR,1675476424
355,yulara,-25.2406,130.9889,297.87,29,0,5.33,AU,1675476426
356,doha,25.2867,51.5333,289.14,59,0,3.6,QA,1675476427
357,prince rupert,54.3161,-130.3201,278.54,90,100,4.1,CA,1675476428
358,honiara,-9.4333,159.95,302.42,78,57,1.25,SB,1675476428
359,port blair,11.6667,92.75,299.91,75,20,4.01,IN,1675476429
360,cusuna,15.85,-85.2333,295.81,82,4,1.36,HN,1675476430
361,namatanai,-3.6667,152.4333,302.05,72,100,2.52,PG,1675476430
362,husavik,66.0449,-17.3389,273.83,63,100,7.5,IS,1675476431
